sentiment,review_text
Positive,"Great benefits, encouraging bonus and competitive salary if you work in HQ."
Negative,"Stressful, Unfair"
Positive,The work-life balance here is to die for.
Positive,"brilliant training initiatives, cool projects & lots of learning opportunities"
Negative,"The work environment is highly political and toxic, with poor work-life balance."
Negative,but current manager is toxic .
Positive,Superior guidance all the time.
Positive,Productive and fun work place
Positive,Very productive and fun workplace
Negative,"They took advantage to bully me and asked me to leave the company, "
Positive,Recognition & Ownership: Employees are empowered to lead initiatives and recognized for their contributions.
Negative,Stressful and Rigid
Positive,Amazing experience
Positive,great place to start out my career.
Positive,Workplace and culture are very good
Positive,For the benefits it's tip top .
Positive,"nice colleague, best working environment, got training and seniors are willingly to teach you if you are lost or dumbfounded."
Negative,Cons - Micromanage on daily basis
Positive,"Great salary, bonus and increment"
Negative,"Short break, management suck"
Positive,"Fun and enjoy working here as all the seniors all really helpful... As i had experienced in sale department form previous employment, it actually help me a lot"
Positive,Best part: teamwork!
Negative,Not a good place unless you're willing to do anything for money
Negative,Bad working culture at Finance and Risk division
Positive,"Their willingness to share knowledge, their patience in teaching, and their constant encouragement have made a huge difference in my growth and confidence at work."
Positive,Employee Benefits: Benefits packages are another strong point.
Negative,Not good to stay for a long time.
Positive,"Best workplace, good salary"
Positive,"Good salary , Good Environment, Opportunity to learn, good training , Good team work, good Benefits and compensation"
Negative,current manager is toxic
Positive,Thank you for being such wonderful teammates and for making my experience here so meaningful.
Negative,"This review is for most positions under the Deposit Department: Poor management, no proper space to meet clients, and zero guidance."
Positive,The employees were very supportive.
Negative,"No Guidance, No Space, and No Credit"
Negative,It was a very bad experience.
Positive,best place to work
Positive,Positive working environment
Positive,"Overall, Bank Islam is an excellent place to work if youâre looking for a dynamic, professional, and rewarding workplace"
Negative,Forget about life if u work in this company
Negative,Worst management
Positive,This balance of professionalism and human touch makes working under them both inspiring and enjoyable
Positive,I would like to take this opportunity to express my heartfelt appreciation to my colleagues at Maybank Alor Setar who have been incredibly supportive and generous with their guidance since my very first day.
Positive,Pros - The renumeration packages and bonuses are great.
Positive,Pros - Able to develop relevant experience
Negative,"Shame, unfair, hurting, unhumanity"
Positive,productive and fun work place
Positive,Excellence staff benefits
Negative,"No work life balance, "
Negative,Toxic
Negative,"No work life balance, expected to work 13 hours everyday, high workload and marketing officer will keep pressuring you to meet their figure, supposed to work as a team but end up each of team member only work for their own target and goal, not recommend"
Positive,Innovation-Driven: Focus on digital transformation makes it an exciting place for tech-savvy professionals.
Negative,Very unprofessional from team manager up to higher management lvl.
Positive,strong staff engagement
Positive,Employer of choice for everyone
Positive,Best Benefits and Great Working Environment 
Positive,Great place to kickstart your career
Positive,Very good first job... blessed to have the opportunity to work at Maybank!
Negative,"Very heavy workloads, no work life balance & toxic management"
Negative,"Work like dog, work until you die, no one gonna appreciate you."
Negative," No work life Balance, No career growth"
Positive,great co workers never stressful you can go home on time work life balance bosses are kind and they always check up on you they are also responsive of your inquiries
Negative,toxic environment
Positive,Working environment and collaborative colleagues are positive that push you forward to the limit.
Positive,"Fix increment yearly, perks for staff, hospitalisation, dental, permanent position, work from home, positive working environment, need to achieve target."
Negative,Please donât work here this company is really give a mental health issue and they will demand you to pay 2500 for this job who have slow system and everything look old.
Negative,"Toxic cultureâcolleagues fought over customers, and superiors claimed credit for our hard work and performance."
Negative,Stress working environment High work load Need to work over time to finish the work but no pay OT  Low opportunity for career growth
Positive,great place to work and grow.
Positive,Pros: staff mostly friendly.
Positive,People who works there are energized and driven.
Positive,I would recommend PBB to prospective employees who are eager to work in a dynamic environment and are passionate about banking.
Negative,"No work life balance, stressful and so much pressure"
Negative,Bad management and worst banking system i had ever work for.
Positive,Amazing Place To Work
Positive,"best work environment, encourage speak-up culture, management and colleagues are friendly and helpful."
Positive,Super Productive workplace
Positive,"Great place to work, persomal & career growth, & good perks"
Negative,"Toxic work environment, you just sit down for 9 hours and stay glued at your screen, and everybody hates it if you take a quick break to the toilet, or suggest any new approaches"
Positive,"Leadership and Management: Many employees appreciate the approachable leadership at Maybank, noting that management is supportive and values open communication."
Positive,Pros Workload not very heavy Senior Micro-Frontend Developer friendly and willing to teach us.
Negative,"No work life balance, toxic & poor management"
Positive,Great Work Environment: Employees often mention the inclusive and collaborative culture at Maybank.
Negative,"No worklife balance, prepare to work overtime without extra pay."
Positive,"Fosters learning & growth, highly recommend!"
Positive,Work-life balance on top!
Positive,Pro: Great staff benefit.
Negative,"Toxic, competitive environment"
Negative,The O & T dept employees made me too shame to work together.
Positive,Healthy working environment Recommended for freshers
Positive,"Pros: Bonus and increment consistently high every year medical benefits great teammates, almost no politics"
Negative,The worst place and management I've ever experienced
Positive,Pros: Supportive Work Environment: Encouraging leadership and helpful colleagues foster a positive workplace culture.
Positive,good company and culture the colleagues are helpful help each others to solve problems the environment is nice competitive salary package good benefit recommend
Positive,"Pro Good benefits to employee-insurance,bonus,allowances,increment,epf, staff loan, building facilities "
Negative,"No work life balance , Stressful working place Politic environment , Manager stress Long working hour"
Negative,Worst place I've ever worked at 
